cod;nome;período;valor
1076;BRA;1989;18.78
1076;BRA;1990;22.66
1076;BRA;1991;20.77
1076;BRA;1992;18.51
1076;BRA;1993;21.95
1076;BRA;1994;24.28
1076;BRA;1995;27.88
1076;BRA;1996;28.21
1076;BRA;1997;30.53
1076;BRA;1998;32.23
1076;BRA;1999;33.6
1076;BRA;2000;37.32
1076;BRA;2001;39.91
1076;BRA;2002;40.95
1076;BRA;2003;42.86
1076;BRA;2004;40.66
1076;BRA;2005;39.41
1076;BRA;2006;40.35
1076;BRA;2007;39.42
1076;BRA;2008;41.09
1076;BRA;2009;41.88
1076;BRA;2010;41.77
1076;BRA;2011;41.38
1076;BRA;2012;45.9
1076;BRA;2013;46.33
1076;BRA;2014;49.56
1076;BRA;2015;47.91
1076;BRA;2016;51.33
1076;BRA;2017;55.29
1076;BRA;2018;47.28
1076;BRA;2019;34.91
1076;BRA;2020;39.17
1076;BRA;2021;37.56
